iso3,country,index,index_name,year,rank,date
ARE,United Arab Emirates,GII,Global Innovation Index (GII),2024,32,2024-01-01
AUS,Australia,GII,Global Innovation Index (GII),2024,23,2024-01-01
AUT,Austria,GII,Global Innovation Index (GII),2024,17,2024-01-01
BEL,Belgium,GII,Global Innovation Index (GII),2024,24,2024-01-01
BGR,Bulgaria,GII,Global Innovation Index (GII),2024,38,2024-01-01
BRA,Brazil,GII,Global Innovation Index (GII),2024,50,2024-01-01
CAN,Canada,GII,Global Innovation Index (GII),2024,14,2024-01-01
CHE,Switzerland,GII,Global Innovation Index (GII),2024,1,2024-01-01
CHN,China,GII,Global Innovation Index (GII),2024,11,2024-01-01
CYP,Cyprus,GII,Global Innovation Index (GII),2024,27,2024-01-01
CZE,Czech Republic,GII,Global Innovation Index (GII),2024,30,2024-01-01
DEU,Germany,GII,Global Innovation Index (GII),2024,9,2024-01-01
DNK,Denmark,GII,Global Innovation Index (GII),2024,10,2024-01-01
ESP,Spain,GII,Global Innovation Index (GII),2024,28,2024-01-01
EST,Estonia,GII,Global Innovation Index (GII),2024,16,2024-01-01
FIN,Finland,GII,Global Innovation Index (GII),2024,7,2024-01-01
FRA,France,GII,Global Innovation Index (GII),2024,12,2024-01-01
GBR,United Kingdom,GII,Global Innovation Index (GII),2024,5,2024-01-01
GRC,Greece,GII,Global Innovation Index (GII),2024,45,2024-01-01
HKG,"Hong Kong, China",GII,Global Innovation Index (GII),2024,18,2024-01-01
HRV,Croatia,GII,Global Innovation Index (GII),2024,43,2024-01-01
HUN,Hungary,GII,Global Innovation Index (GII),2024,36,2024-01-01
IND,India,GII,Global Innovation Index (GII),2024,39,2024-01-01
IRL,Ireland,GII,Global Innovation Index (GII),2024,19,2024-01-01
ISL,Iceland,GII,Global Innovation Index (GII),2024,22,2024-01-01
ISR,Israel,GII,Global Innovation Index (GII),2024,15,2024-01-01
ITA,Italy,GII,Global Innovation Index (GII),2024,26,2024-01-01
JPN,Japan,GII,Global Innovation Index (GII),2024,13,2024-01-01
KOR,Republic of Korea,GII,Global Innovation Index (GII),2024,6,2024-01-01
LTU,Lithuania,GII,Global Innovation Index (GII),2024,35,2024-01-01
LUX,Luxembourg,GII,Global Innovation Index (GII),2024,20,2024-01-01
LVA,Latvia,GII,Global Innovation Index (GII),2024,42,2024-01-01
MLT,Malta,GII,Global Innovation Index (GII),2024,29,2024-01-01
MYS,Malaysia,GII,Global Innovation Index (GII),2024,33,2024-01-01
NLD,Netherlands,GII,Global Innovation Index (GII),2024,8,2024-01-01
NOR,Norway,GII,Global Innovation Index (GII),2024,21,2024-01-01
NZL,New Zealand,GII,Global Innovation Index (GII),2024,25,2024-01-01
POL,Poland,GII,Global Innovation Index (GII),2024,40,2024-01-01
PRT,Portugal,GII,Global Innovation Index (GII),2024,31,2024-01-01
QAT,Qatar,GII,Global Innovation Index (GII),2024,49,2024-01-01
ROU,Romania,GII,Global Innovation Index (GII),2024,48,2024-01-01
SAU,Saudi Arabia,GII,Global Innovation Index (GII),2024,47,2024-01-01
SGP,Singapore,GII,Global Innovation Index (GII),2024,4,2024-01-01
SVK,Slovakia,GII,Global Innovation Index (GII),2024,46,2024-01-01
SVN,Slovenia,GII,Global Innovation Index (GII),2024,34,2024-01-01
SWE,Sweden,GII,Global Innovation Index (GII),2024,2,2024-01-01
THA,Thailand,GII,Global Innovation Index (GII),2024,41,2024-01-01
TUR,Turkey,GII,Global Innovation Index (GII),2024,37,2024-01-01
USA,United States of America,GII,Global Innovation Index (GII),2024,3,2024-01-01
VNM,Viet Nam,GII,Global Innovation Index (GII),2024,44,2024-01-01
CHE,Switzerland,GII,Global Innovation Index (GII),2023,1,2023-01-01
CHE,Switzerland,GII,Global Innovation Index (GII),2022,1,2022-01-01
CHE,Switzerland,GII,Global Innovation Index (GII),2021,1,2021-01-01
CHE,Switzerland,GII,Global Innovation Index (GII),2020,1,2020-01-01
CHE,Switzerland,GII,Global Innovation Index (GII),2019,1,2019-01-01
SWE,Sweden,GII,Global Innovation Index (GII),2023,2,2023-01-01
SWE,Sweden,GII,Global Innovation Index (GII),2022,3,2022-01-01
SWE,Sweden,GII,Global Innovation Index (GII),2021,2,2021-01-01
SWE,Sweden,GII,Global Innovation Index (GII),2020,2,2020-01-01
SWE,Sweden,GII,Global Innovation Index (GII),2019,2,2019-01-01
USA,United States of America,GII,Global Innovation Index (GII),2023,3,2023-01-01
USA,United States of America,GII,Global Innovation Index (GII),2022,2,2022-01-01
USA,United States of America,GII,Global Innovation Index (GII),2021,3,2021-01-01
USA,United States of America,GII,Global Innovation Index (GII),2020,3,2020-01-01
USA,United States of America,GII,Global Innovation Index (GII),2019,3,2019-01-01
GBR,United Kingdom,GII,Global Innovation Index (GII),2023,4,2023-01-01
GBR,United Kingdom,GII,Global Innovation Index (GII),2022,4,2022-01-01
GBR,United Kingdom,GII,Global Innovation Index (GII),2021,4,2021-01-01
GBR,United Kingdom,GII,Global Innovation Index (GII),2020,4,2020-01-01
GBR,United Kingdom,GII,Global Innovation Index (GII),2019,5,2019-01-01
SGP,Singapore,GII,Global Innovation Index (GII),2023,5,2023-01-01
SGP,Singapore,GII,Global Innovation Index (GII),2022,7,2022-01-01
SGP,Singapore,GII,Global Innovation Index (GII),2021,8,2021-01-01
SGP,Singapore,GII,Global Innovation Index (GII),2020,8,2020-01-01
SGP,Singapore,GII,Global Innovation Index (GII),2019,8,2019-01-01
FIN,Finland,GII,Global Innovation Index (GII),2023,6,2023-01-01
FIN,Finland,GII,Global Innovation Index (GII),2022,9,2022-01-01
FIN,Finland,GII,Global Innovation Index (GII),2021,7,2021-01-01
FIN,Finland,GII,Global Innovation Index (GII),2020,7,2020-01-01
FIN,Finland,GII,Global Innovation Index (GII),2019,6,2019-01-01
NLD,Netherlands,GII,Global Innovation Index (GII),2023,7,2023-01-01
NLD,Netherlands,GII,Global Innovation Index (GII),2022,5,2022-01-01
NLD,Netherlands,GII,Global Innovation Index (GII),2021,6,2021-01-01
NLD,Netherlands,GII,Global Innovation Index (GII),2020,5,2020-01-01
NLD,Netherlands,GII,Global Innovation Index (GII),2019,4,2019-01-01
DEU,Germany,GII,Global Innovation Index (GII),2023,8,2023-01-01
DEU,Germany,GII,Global Innovation Index (GII),2022,8,2022-01-01
DEU,Germany,GII,Global Innovation Index (GII),2021,10,2021-01-01
DEU,Germany,GII,Global Innovation Index (GII),2020,9,2020-01-01
DEU,Germany,GII,Global Innovation Index (GII),2019,9,2019-01-01
DNK,Denmark,GII,Global Innovation Index (GII),2023,9,2023-01-01
DNK,Denmark,GII,Global Innovation Index (GII),2022,10,2022-01-01
DNK,Denmark,GII,Global Innovation Index (GII),2021,9,2021-01-01
DNK,Denmark,GII,Global Innovation Index (GII),2020,6,2020-01-01
DNK,Denmark,GII,Global Innovation Index (GII),2019,7,2019-01-01
KOR,Republic of Korea,GII,Global Innovation Index (GII),2023,10,2023-01-01
KOR,Republic of Korea,GII,Global Innovation Index (GII),2022,6,2022-01-01
KOR,Republic of Korea,GII,Global Innovation Index (GII),2021,5,2021-01-01
KOR,Republic of Korea,GII,Global Innovation Index (GII),2020,10,2020-01-01
KOR,Republic of Korea,GII,Global Innovation Index (GII),2019,11,2019-01-01
FRA,France,GII,Global Innovation Index (GII),2023,11,2023-01-01
FRA,France,GII,Global Innovation Index (GII),2022,12,2022-01-01
FRA,France,GII,Global Innovation Index (GII),2021,11,2021-01-01
FRA,France,GII,Global Innovation Index (GII),2020,12,2020-01-01
FRA,France,GII,Global Innovation Index (GII),2019,16,2019-01-01
CHN,China,GII,Global Innovation Index (GII),2023,12,2023-01-01
CHN,China,GII,Global Innovation Index (GII),2022,11,2022-01-01
CHN,China,GII,Global Innovation Index (GII),2021,12,2021-01-01
CHN,China,GII,Global Innovation Index (GII),2020,14,2020-01-01
CHN,China,GII,Global Innovation Index (GII),2019,14,2019-01-01
JPN,Japan,GII,Global Innovation Index (GII),2023,13,2023-01-01
JPN,Japan,GII,Global Innovation Index (GII),2022,13,2022-01-01
JPN,Japan,GII,Global Innovation Index (GII),2021,13,2021-01-01
JPN,Japan,GII,Global Innovation Index (GII),2020,16,2020-01-01
JPN,Japan,GII,Global Innovation Index (GII),2019,15,2019-01-01
ISR,Israel,GII,Global Innovation Index (GII),2023,14,2023-01-01
ISR,Israel,GII,Global Innovation Index (GII),2022,16,2022-01-01
ISR,Israel,GII,Global Innovation Index (GII),2021,15,2021-01-01
ISR,Israel,GII,Global Innovation Index (GII),2020,13,2020-01-01
ISR,Israel,GII,Global Innovation Index (GII),2019,10,2019-01-01
CAN,Canada,GII,Global Innovation Index (GII),2023,15,2023-01-01
CAN,Canada,GII,Global Innovation Index (GII),2022,15,2022-01-01
CAN,Canada,GII,Global Innovation Index (GII),2021,16,2021-01-01
CAN,Canada,GII,Global Innovation Index (GII),2020,17,2020-01-01
CAN,Canada,GII,Global Innovation Index (GII),2019,17,2019-01-01
EST,Estonia,GII,Global Innovation Index (GII),2023,16,2023-01-01
EST,Estonia,GII,Global Innovation Index (GII),2022,18,2022-01-01
EST,Estonia,GII,Global Innovation Index (GII),2021,21,2021-01-01
EST,Estonia,GII,Global Innovation Index (GII),2020,25,2020-01-01
EST,Estonia,GII,Global Innovation Index (GII),2019,24,2019-01-01
HKG,"Hong Kong, China",GII,Global Innovation Index (GII),2023,17,2023-01-01
HKG,"Hong Kong, China",GII,Global Innovation Index (GII),2022,14,2022-01-01
HKG,"Hong Kong, China",GII,Global Innovation Index (GII),2021,14,2021-01-01
HKG,"Hong Kong, China",GII,Global Innovation Index (GII),2020,11,2020-01-01
HKG,"Hong Kong, China",GII,Global Innovation Index (GII),2019,13,2019-01-01
AUT,Austria,GII,Global Innovation Index (GII),2023,18,2023-01-01
AUT,Austria,GII,Global Innovation Index (GII),2022,17,2022-01-01
AUT,Austria,GII,Global Innovation Index (GII),2021,18,2021-01-01
AUT,Austria,GII,Global Innovation Index (GII),2020,19,2020-01-01
AUT,Austria,GII,Global Innovation Index (GII),2019,21,2019-01-01
NOR,Norway,GII,Global Innovation Index (GII),2023,19,2023-01-01
NOR,Norway,GII,Global Innovation Index (GII),2022,22,2022-01-01
NOR,Norway,GII,Global Innovation Index (GII),2021,20,2021-01-01
NOR,Norway,GII,Global Innovation Index (GII),2020,20,2020-01-01
NOR,Norway,GII,Global Innovation Index (GII),2019,19,2019-01-01
ISL,Iceland,GII,Global Innovation Index (GII),2023,20,2023-01-01
ISL,Iceland,GII,Global Innovation Index (GII),2022,20,2022-01-01
ISL,Iceland,GII,Global Innovation Index (GII),2021,17,2021-01-01
ISL,Iceland,GII,Global Innovation Index (GII),2020,21,2020-01-01
ISL,Iceland,GII,Global Innovation Index (GII),2019,20,2019-01-01
LUX,Luxembourg,GII,Global Innovation Index (GII),2023,21,2023-01-01
LUX,Luxembourg,GII,Global Innovation Index (GII),2022,19,2022-01-01
LUX,Luxembourg,GII,Global Innovation Index (GII),2021,23,2021-01-01
LUX,Luxembourg,GII,Global Innovation Index (GII),2020,18,2020-01-01
LUX,Luxembourg,GII,Global Innovation Index (GII),2019,18,2019-01-01
IRL,Ireland,GII,Global Innovation Index (GII),2023,22,2023-01-01
IRL,Ireland,GII,Global Innovation Index (GII),2022,23,2022-01-01
IRL,Ireland,GII,Global Innovation Index (GII),2021,19,2021-01-01
IRL,Ireland,GII,Global Innovation Index (GII),2020,15,2020-01-01
IRL,Ireland,GII,Global Innovation Index (GII),2019,12,2019-01-01
BEL,Belgium,GII,Global Innovation Index (GII),2023,23,2023-01-01
BEL,Belgium,GII,Global Innovation Index (GII),2022,26,2022-01-01
BEL,Belgium,GII,Global Innovation Index (GII),2021,22,2021-01-01
BEL,Belgium,GII,Global Innovation Index (GII),2020,22,2020-01-01
BEL,Belgium,GII,Global Innovation Index (GII),2019,23,2019-01-01
AUS,Australia,GII,Global Innovation Index (GII),2023,24,2023-01-01
AUS,Australia,GII,Global Innovation Index (GII),2022,25,2022-01-01
AUS,Australia,GII,Global Innovation Index (GII),2021,25,2021-01-01
AUS,Australia,GII,Global Innovation Index (GII),2020,23,2020-01-01
AUS,Australia,GII,Global Innovation Index (GII),2019,22,2019-01-01
MLT,Malta,GII,Global Innovation Index (GII),2023,25,2023-01-01
MLT,Malta,GII,Global Innovation Index (GII),2022,21,2022-01-01
MLT,Malta,GII,Global Innovation Index (GII),2021,27,2021-01-01
MLT,Malta,GII,Global Innovation Index (GII),2020,27,2020-01-01
