instrument,type,comment,value,year
Start-up Innovationsprojekte,Projektförderung,,56.9,2023
Overheadbeiträge,Projektförderung,,30.7,2023
Flagships,Projektförderung,,35.4,2023
Swiss Accelerator Projekte,Projektförderung,(Übergangsmassnahme für Horizon Europe),111.8,2023
Projektförderung im Rahmen des Impulsprogramms,Projektförderung,,12.7,2023
Projektförderung (inkl. Innovationsscheck),Projektförderung,,153.8,2023
Bridge,Projektförderung,,14.1,2023
Internationale Projekte,Internationale Projekte,,44.2,2023
Start-up und Unternehmertum,Start-up und Unternehmertum,,12.7,2023
Wissens- und Technologietransfer,Wissens- und Technologietransfer,,19.8,2023
