iso3	country	year	year_date	obs_value
CHE	Switzerland	2016	2016-01-01	0.001540429
CHE	Switzerland	2017	2017-01-01	0.001895287
CHE	Switzerland	2018	2018-01-01	0.002358163
CHE	Switzerland	2019	2019-01-01	0.002774013
CHE	Switzerland	2020	2020-01-01	0.003114381
CHE	Switzerland	2021	2021-01-01	0.004607149
CHE	Switzerland	2022	2022-01-01	0.004512203
CHE	Switzerland	2023	2023-01-01	0.003026567
DEU	Germany	2016	2016-01-01	0.000536931
DEU	Germany	2017	2017-01-01	0.000611598
DEU	Germany	2018	2018-01-01	0.001210881
DEU	Germany	2019	2019-01-01	0.001411965
DEU	Germany	2020	2020-01-01	0.001024317
DEU	Germany	2021	2021-01-01	0.003826624
DEU	Germany	2022	2022-01-01	0.001848625
DEU	Germany	2023	2023-01-01	0.001277089
DNK	Denmark	2016	2016-01-01	0.000653617
DNK	Denmark	2017	2017-01-01	0.000901183
DNK	Denmark	2018	2018-01-01	0.001411171
DNK	Denmark	2019	2019-01-01	0.002011041
DNK	Denmark	2020	2020-01-01	0.002010649
DNK	Denmark	2021	2021-01-01	0.005776145
DNK	Denmark	2022	2022-01-01	0.002229531
DNK	Denmark	2023	2023-01-01	0.002481191
EST	Estonia	2016	2016-01-01	0.000614597
EST	Estonia	2017	2017-01-01	0.003197588
EST	Estonia	2018	2018-01-01	0.0006444
EST	Estonia	2019	2019-01-01	0.001902716
EST	Estonia	2020	2020-01-01	0.005809884
EST	Estonia	2021	2021-01-01	0.016665887
EST	Estonia	2022	2022-01-01	0.022334095
EST	Estonia	2023	2023-01-01	0.004958583
FIN	Finland	2016	2016-01-01	0.001004832
FIN	Finland	2017	2017-01-01	0.001225282
FIN	Finland	2018	2018-01-01	0.001962617
FIN	Finland	2019	2019-01-01	0.001848683
FIN	Finland	2020	2020-01-01	0.003934152
FIN	Finland	2021	2021-01-01	0.005639662
FIN	Finland	2022	2022-01-01	0.003313639
FIN	Finland	2023	2023-01-01	0.001346231
FRA	France	2016	2016-01-01	0.000719259
FRA	France	2017	2017-01-01	0.00087001
FRA	France	2018	2018-01-01	0.00131424
FRA	France	2019	2019-01-01	0.001440363
FRA	France	2020	2020-01-01	0.001658443
FRA	France	2021	2021-01-01	0.003375053
FRA	France	2022	2022-01-01	0.003315482
FRA	France	2023	2023-01-01	0.001945905
GBR	United Kingdom	2016	2016-01-01	0.001723546
GBR	United Kingdom	2017	2017-01-01	0.002817552
GBR	United Kingdom	2018	2018-01-01	0.002964263
GBR	United Kingdom	2019	2019-01-01	0.003757739
GBR	United Kingdom	2020	2020-01-01	0.004351559
GBR	United Kingdom	2021	2021-01-01	0.009173294
GBR	United Kingdom	2022	2022-01-01	0.006142246
GBR	United Kingdom	2023	2023-01-01	0.003586272
ISR	Israel	2016	2016-01-01	0.004710825
ISR	Israel	2017	2017-01-01	0.006030973
ISR	Israel	2018	2018-01-01	0.009101808
ISR	Israel	2019	2019-01-01	0.009716517
ISR	Israel	2020	2020-01-01	0.010654897
ISR	Israel	2021	2021-01-01	0.021295573
ISR	Israel	2022	2022-01-01	0.01654423
ISR	Israel	2023	2023-01-01	0.007894356
ITA	Italy	2016	2016-01-01	0.000494699
ITA	Italy	2017	2017-01-01	0.000419805
ITA	Italy	2018	2018-01-01	0.001242309
ITA	Italy	2019	2019-01-01	0.000985535
ITA	Italy	2020	2020-01-01	0.001579348
ITA	Italy	2021	2021-01-01	0.002443112
ITA	Italy	2022	2022-01-01	0.003023283
ITA	Italy	2023	2023-01-01	0.00219828
KOR	Korea	2016	2016-01-01	0.000507525
KOR	Korea	2017	2017-01-01	0.000561275
KOR	Korea	2018	2018-01-01	0.001504878
KOR	Korea	2019	2019-01-01	0.002224304
KOR	Korea	2020	2020-01-01	0.001861326
KOR	Korea	2021	2021-01-01	0.005623344
KOR	Korea	2022	2022-01-01	0.003950816
KOR	Korea	2023	2023-01-01	0.001149893
NLD	Netherlands	2016	2016-01-01	0.000423492
NLD	Netherlands	2017	2017-01-01	0.000953988
NLD	Netherlands	2018	2018-01-01	0.000923847
NLD	Netherlands	2019	2019-01-01	0.001078299
NLD	Netherlands	2020	2020-01-01	0.001477081
NLD	Netherlands	2021	2021-01-01	0.006301096
NLD	Netherlands	2022	2022-01-01	0.001724045
NLD	Netherlands	2023	2023-01-01	0.002363582
NOR	Norway	2016	2016-01-01	0.000778938
NOR	Norway	2017	2017-01-01	0.000673043
NOR	Norway	2018	2018-01-01	0.000850871
NOR	Norway	2019	2019-01-01	0.000735293
NOR	Norway	2020	2020-01-01	0.001175097
NOR	Norway	2021	2021-01-01	0.002661799
NOR	Norway	2022	2022-01-01	0.00184854
NOR	Norway	2023	2023-01-01	0.000871379
SGP	Singapore	2016	2016-01-01	0.004871832
SGP	Singapore	2017	2017-01-01	0.01145382
SGP	Singapore	2018	2018-01-01	0.020085414
SGP	Singapore	2019	2019-01-01	0.014381113
SGP	Singapore	2020	2020-01-01	0.010558379
SGP	Singapore	2021	2021-01-01	0.020145233
SGP	Singapore	2022	2022-01-01	0.013839659
SGP	Singapore	2023	2023-01-01	0.006770366
SWE	Sweden	2016	2016-01-01	0.00149443
SWE	Sweden	2017	2017-01-01	0.00166173
SWE	Sweden	2018	2018-01-01	0.001938894
SWE	Sweden	2019	2019-01-01	0.001955014
SWE	Sweden	2020	2020-01-01	0.003734888
SWE	Sweden	2021	2021-01-01	0.011532493
SWE	Sweden	2022	2022-01-01	0.005419789
SWE	Sweden	2023	2023-01-01	0.00182551
USA	United States	2016	2016-01-01	0.003672404
USA	United States	2017	2017-01-01	0.004388593
USA	United States	2018	2018-01-01	0.005437187
USA	United States	2019	2019-01-01	0.005585164
USA	United States	2020	2020-01-01	0.006851316
USA	United States	2021	2021-01-01	0.012816396
USA	United States	2022	2022-01-01	0.007524818
USA	United States	2023	2023-01-01	0.004314938
