iso3	country	measure	source	unit	year	year_date	obs_value
DNK	Denmark	GDP	OECD	USDm	2016	2016-01-01	296830.912
DNK	Denmark	GDP	OECD	USDm	2017	2017-01-01	318639.663
DNK	Denmark	GDP	OECD	USDm	2018	2018-01-01	331590.774
DNK	Denmark	GDP	OECD	USDm	2019	2019-01-01	352324.7
DNK	Denmark	GDP	OECD	USDm	2020	2020-01-01	365525.766
DNK	Denmark	GDP	OECD	USDm	2021	2021-01-01	411976.185
DNK	Denmark	GDP	OECD	USDm	2022	2022-01-01	462208.464
DNK	Denmark	GDP	OECD	USDm	2023	2023-01-01	459323.638
EST	Estonia	GDP	OECD	USDm	2016	2016-01-01	42036.589
EST	Estonia	GDP	OECD	USDm	2017	2017-01-01	45458.516
EST	Estonia	GDP	OECD	USDm	2018	2018-01-01	49073.116
EST	Estonia	GDP	OECD	USDm	2019	2019-01-01	53853.948
EST	Estonia	GDP	OECD	USDm	2020	2020-01-01	54066.56
EST	Estonia	GDP	OECD	USDm	2021	2021-01-01	59964.585
EST	Estonia	GDP	OECD	USDm	2022	2022-01-01	65431.142
EST	Estonia	GDP	OECD	USDm	2023	2023-01-01	67820.224
FIN	Finland	GDP	OECD	USDm	2016	2016-01-01	246928.493
FIN	Finland	GDP	OECD	USDm	2017	2017-01-01	262026.563
FIN	Finland	GDP	OECD	USDm	2018	2018-01-01	273455.993
FIN	Finland	GDP	OECD	USDm	2019	2019-01-01	290269.755
FIN	Finland	GDP	OECD	USDm	2020	2020-01-01	296764.001
FIN	Finland	GDP	OECD	USDm	2021	2021-01-01	320209.119
FIN	Finland	GDP	OECD	USDm	2022	2022-01-01	347806.828
FIN	Finland	GDP	OECD	USDm	2023	2023-01-01	359723.562
FRA	France	GDP	OECD	USDm	2016	2016-01-01	2861144.26
FRA	France	GDP	OECD	USDm	2017	2017-01-01	2975789.613
FRA	France	GDP	OECD	USDm	2018	2018-01-01	3114875.553
FRA	France	GDP	OECD	USDm	2019	2019-01-01	3445275.346
FRA	France	GDP	OECD	USDm	2020	2020-01-01	3345026.271
FRA	France	GDP	OECD	USDm	2021	2021-01-01	3656802.427
FRA	France	GDP	OECD	USDm	2022	2022-01-01	3938987.446
FRA	France	GDP	OECD	USDm	2023	2023-01-01	4197859.16
DEU	Germany	GDP	OECD	USDm	2016	2016-01-01	4165169.905
DEU	Germany	GDP	OECD	USDm	2017	2017-01-01	4386729.188
DEU	Germany	GDP	OECD	USDm	2018	2018-01-01	4576056.532
DEU	Germany	GDP	OECD	USDm	2019	2019-01-01	4840311.774
DEU	Germany	GDP	OECD	USDm	2020	2020-01-01	4815444.969
DEU	Germany	GDP	OECD	USDm	2021	2021-01-01	5153137.09
DEU	Germany	GDP	OECD	USDm	2022	2022-01-01	5582292.074
DEU	Germany	GDP	OECD	USDm	2023	2023-01-01	5859344.559
ISR	Israel	GDP	OECD	USDm	2016	2016-01-01	326365.734
ISR	Israel	GDP	OECD	USDm	2017	2017-01-01	343928.459
ISR	Israel	GDP	OECD	USDm	2018	2018-01-01	357009.212
ISR	Israel	GDP	OECD	USDm	2019	2019-01-01	374434.015
ISR	Israel	GDP	OECD	USDm	2020	2020-01-01	379637.735
ISR	Israel	GDP	OECD	USDm	2021	2021-01-01	435871.997
ISR	Israel	GDP	OECD	USDm	2022	2022-01-01	500821.588
ISR	Israel	GDP	OECD	USDm	2023	2023-01-01	525132.362
ITA	Italy	GDP	OECD	USDm	2016	2016-01-01	2420672.1
ITA	Italy	GDP	OECD	USDm	2017	2017-01-01	2517184.5
ITA	Italy	GDP	OECD	USDm	2018	2018-01-01	2600326.9
ITA	Italy	GDP	OECD	USDm	2019	2019-01-01	2775612.6
ITA	Italy	GDP	OECD	USDm	2020	2020-01-01	2627330.1
ITA	Italy	GDP	OECD	USDm	2021	2021-01-01	2950840.2
ITA	Italy	GDP	OECD	USDm	2022	2022-01-01	3295257.3
ITA	Italy	GDP	OECD	USDm	2023	2023-01-01	3452506
NLD	Netherlands	GDP	OECD	USDm	2016	2016-01-01	905370.742
NLD	Netherlands	GDP	OECD	USDm	2017	2017-01-01	959996.091
NLD	Netherlands	GDP	OECD	USDm	2018	2018-01-01	1013551.966
NLD	Netherlands	GDP	OECD	USDm	2019	2019-01-01	1081370.591
NLD	Netherlands	GDP	OECD	USDm	2020	2020-01-01	1091779.035
NLD	Netherlands	GDP	OECD	USDm	2021	2021-01-01	1215449.018
NLD	Netherlands	GDP	OECD	USDm	2022	2022-01-01	1368013.596
NLD	Netherlands	GDP	OECD	USDm	2023	2023-01-01	1443766.59
NOR	Norway	GDP	OECD	USDm	2016	2016-01-01	310303.322
NOR	Norway	GDP	OECD	USDm	2017	2017-01-01	340837.014
NOR	Norway	GDP	OECD	USDm	2018	2018-01-01	373182.531
NOR	Norway	GDP	OECD	USDm	2019	2019-01-01	379377.628
NOR	Norway	GDP	OECD	USDm	2020	2020-01-01	361019.83
NOR	Norway	GDP	OECD	USDm	2021	2021-01-01	482471.586
NOR	Norway	GDP	OECD	USDm	2022	2022-01-01	678063.523
NOR	Norway	GDP	OECD	USDm	2023	2023-01-01	576335.269
KOR	Republic of Korea	GDP	OECD	USDm	2016	2016-01-01	2026967.822
KOR	Republic of Korea	GDP	OECD	USDm	2017	2017-01-01	2103651.26
KOR	Republic of Korea	GDP	OECD	USDm	2018	2018-01-01	2220442.286
KOR	Republic of Korea	GDP	OECD	USDm	2019	2019-01-01	2270666.071
KOR	Republic of Korea	GDP	OECD	USDm	2020	2020-01-01	2340031.074
KOR	Republic of Korea	GDP	OECD	USDm	2021	2021-01-01	2514520.655
KOR	Republic of Korea	GDP	OECD	USDm	2022	2022-01-01	2667437.703
KOR	Republic of Korea	GDP	OECD	USDm	2023	2023-01-01	2794196.342
SGP	Singapore	GDP	OECD	USDm	2016	2016-01-01	503132.801
SGP	Singapore	GDP	OECD	USDm	2017	2017-01-01	536714.452
SGP	Singapore	GDP	OECD	USDm	2018	2018-01-01	585820.555
SGP	Singapore	GDP	OECD	USDm	2019	2019-01-01	601866.111
SGP	Singapore	GDP	OECD	USDm	2020	2020-01-01	575934.431
SGP	Singapore	GDP	OECD	USDm	2021	2021-01-01	719133.066
SGP	Singapore	GDP	OECD	USDm	2022	2022-01-01	799310
SGP	Singapore	GDP	OECD	USDm	2023	2023-01-01	837348.5
ESP	Spain	GDP	OECD	USDm	2016	2016-01-01	1734116.161
ESP	Spain	GDP	OECD	USDm	2017	2017-01-01	1842770.464
ESP	Spain	GDP	OECD	USDm	2018	2018-01-01	1905450.021
ESP	Spain	GDP	OECD	USDm	2019	2019-01-01	2061661.816
ESP	Spain	GDP	OECD	USDm	2020	2020-01-01	1845714.544
ESP	Spain	GDP	OECD	USDm	2021	2021-01-01	2068304.39
ESP	Spain	GDP	OECD	USDm	2022	2022-01-01	2326110.576
ESP	Spain	GDP	OECD	USDm	2023	2023-01-01	2553109.781
SWE	Sweden	GDP	OECD	USDm	2016	2016-01-01	499029.63
SWE	Sweden	GDP	OECD	USDm	2017	2017-01-01	517711.142
SWE	Sweden	GDP	OECD	USDm	2018	2018-01-01	540532.207
SWE	Sweden	GDP	OECD	USDm	2019	2019-01-01	586373.957
SWE	Sweden	GDP	OECD	USDm	2020	2020-01-01	595211.787
SWE	Sweden	GDP	OECD	USDm	2021	2021-01-01	657493.887
SWE	Sweden	GDP	OECD	USDm	2022	2022-01-01	701321.425
SWE	Sweden	GDP	OECD	USDm	2023	2023-01-01	729382.98
CHE	Switzerland	GDP	OECD	USDm	2016	2016-01-01	563950.47
CHE	Switzerland	GDP	OECD	USDm	2017	2017-01-01	576360.576
CHE	Switzerland	GDP	OECD	USDm	2018	2018-01-01	601868.008
CHE	Switzerland	GDP	OECD	USDm	2019	2019-01-01	632274.548
CHE	Switzerland	GDP	OECD	USDm	2020	2020-01-01	630567.343
CHE	Switzerland	GDP	OECD	USDm	2021	2021-01-01	710318.657
CHE	Switzerland	GDP	OECD	USDm	2022	2022-01-01	796369.1
CHE	Switzerland	GDP	OECD	USDm	2023	2023-01-01	822862.418
GBR	United Kingdom	GDP	OECD	USDm	2016	2016-01-01	2892299.174
GBR	United Kingdom	GDP	OECD	USDm	2017	2017-01-01	3041891.843
GBR	United Kingdom	GDP	OECD	USDm	2018	2018-01-01	3129647.768
GBR	United Kingdom	GDP	OECD	USDm	2019	2019-01-01	3335878.327
GBR	United Kingdom	GDP	OECD	USDm	2020	2020-01-01	3220295.94
GBR	United Kingdom	GDP	OECD	USDm	2021	2021-01-01	3541780.669
GBR	United Kingdom	GDP	OECD	USDm	2022	2022-01-01	3847919.387
GBR	United Kingdom	GDP	OECD	USDm	2023	2023-01-01	4026238.627
USA	United States of America	GDP	OECD	USDm	2016	2016-01-01	18804913
USA	United States of America	GDP	OECD	USDm	2017	2017-01-01	19612102
USA	United States of America	GDP	OECD	USDm	2018	2018-01-01	20656516
USA	United States of America	GDP	OECD	USDm	2019	2019-01-01	21521395
USA	United States of America	GDP	OECD	USDm	2020	2020-01-01	21322950
USA	United States of America	GDP	OECD	USDm	2021	2021-01-01	23594031
USA	United States of America	GDP	OECD	USDm	2022	2022-01-01	25744108
USA	United States of America	GDP	OECD	USDm	2023	2023-01-01	27348000
DNK	Denmark	population	UN World Population Prospects 2024	population	2016	2016-01-01	5707422
DNK	Denmark	population	UN World Population Prospects 2024	population	2017	2017-01-01	5748980
DNK	Denmark	population	UN World Population Prospects 2024	population	2018	2018-01-01	5781356
DNK	Denmark	population	UN World Population Prospects 2024	population	2019	2019-01-01	5806293
DNK	Denmark	population	UN World Population Prospects 2024	population	2020	2020-01-01	5822944
DNK	Denmark	population	UN World Population Prospects 2024	population	2021	2021-01-01	5840116
DNK	Denmark	population	UN World Population Prospects 2024	population	2022	2022-01-01	5873437
DNK	Denmark	population	UN World Population Prospects 2024	population	2023	2023-01-01	5932370
EST	Estonia	population	UN World Population Prospects 2024	population	2016	2016-01-01	1315992
EST	Estonia	population	UN World Population Prospects 2024	population	2017	2017-01-01	1315706
EST	Estonia	population	UN World Population Prospects 2024	population	2018	2018-01-01	1319143
EST	Estonia	population	UN World Population Prospects 2024	population	2019	2019-01-01	1324786
EST	Estonia	population	UN World Population Prospects 2024	population	2020	2020-01-01	1328857
EST	Estonia	population	UN World Population Prospects 2024	population	2021	2021-01-01	1330482
EST	Estonia	population	UN World Population Prospects 2024	population	2022	2022-01-01	1333017
EST	Estonia	population	UN World Population Prospects 2024	population	2023	2023-01-01	1367166
FIN	Finland	population	UN World Population Prospects 2024	population	2016	2016-01-01	5487446
FIN	Finland	population	UN World Population Prospects 2024	population	2017	2017-01-01	5503492
FIN	Finland	population	UN World Population Prospects 2024	population	2018	2018-01-01	5513300
FIN	Finland	population	UN World Population Prospects 2024	population	2019	2019-01-01	5518173
FIN	Finland	population	UN World Population Prospects 2024	population	2020	2020-01-01	5525345
FIN	Finland	population	UN World Population Prospects 2024	population	2021	2021-01-01	5533879
FIN	Finland	population	UN World Population Prospects 2024	population	2022	2022-01-01	5548271
FIN	Finland	population	UN World Population Prospects 2024	population	2023	2023-01-01	5590327
FRA	France	population	UN World Population Prospects 2024	population	2016	2016-01-01	65001118
FRA	France	population	UN World Population Prospects 2024	population	2017	2017-01-01	65172593
FRA	France	population	UN World Population Prospects 2024	population	2018	2018-01-01	65396959
FRA	France	population	UN World Population Prospects 2024	population	2019	2019-01-01	65642126
FRA	France	population	UN World Population Prospects 2024	population	2020	2020-01-01	65816792
FRA	France	population	UN World Population Prospects 2024	population	2021	2021-01-01	65993763
FRA	France	population	UN World Population Prospects 2024	population	2022	2022-01-01	66173332
FRA	France	population	UN World Population Prospects 2024	population	2023	2023-01-01	66381485
DEU	Germany	population	UN World Population Prospects 2024	population	2016	2016-01-01	82565636
DEU	Germany	population	UN World Population Prospects 2024	population	2017	2017-01-01	82954569
DEU	Germany	population	UN World Population Prospects 2024	population	2018	2018-01-01	83253445
DEU	Germany	population	UN World Population Prospects 2024	population	2019	2019-01-01	83483566
DEU	Germany	population	UN World Population Prospects 2024	population	2020	2020-01-01	83634807
DEU	Germany	population	UN World Population Prospects 2024	population	2021	2021-01-01	83622610
DEU	Germany	population	UN World Population Prospects 2024	population	2022	2022-01-01	83771555
DEU	Germany	population	UN World Population Prospects 2024	population	2023	2023-01-01	84400899
ISR	Israel	population	UN World Population Prospects 2024	population	2016	2016-01-01	8131997
ISR	Israel	population	UN World Population Prospects 2024	population	2017	2017-01-01	8288014
ISR	Israel	population	UN World Population Prospects 2024	population	2018	2018-01-01	8435579
ISR	Israel	population	UN World Population Prospects 2024	population	2019	2019-01-01	8584554
ISR	Israel	population	UN World Population Prospects 2024	population	2020	2020-01-01	8730394
ISR	Israel	population	UN World Population Prospects 2024	population	2021	2021-01-01	8870358
ISR	Israel	population	UN World Population Prospects 2024	population	2022	2022-01-01	9015491
ISR	Israel	population	UN World Population Prospects 2024	population	2023	2023-01-01	9190811
ITA	Italy	population	UN World Population Prospects 2024	population	2016	2016-01-01	60511606
ITA	Italy	population	UN World Population Prospects 2024	population	2017	2017-01-01	60444609
ITA	Italy	population	UN World Population Prospects 2024	population	2018	2018-01-01	60336027
ITA	Italy	population	UN World Population Prospects 2024	population	2019	2019-01-01	60218970
ITA	Italy	population	UN World Population Prospects 2024	population	2020	2020-01-01	60041302
ITA	Italy	population	UN World Population Prospects 2024	population	2021	2021-01-01	59784236
ITA	Italy	population	UN World Population Prospects 2024	population	2022	2022-01-01	59674464
ITA	Italy	population	UN World Population Prospects 2024	population	2023	2023-01-01	59563765
NLD	Netherlands	population	UN World Population Prospects 2024	population	2016	2016-01-01	17147873
NLD	Netherlands	population	UN World Population Prospects 2024	population	2017	2017-01-01	17261513
NLD	Netherlands	population	UN World Population Prospects 2024	population	2018	2018-01-01	17369227
NLD	Netherlands	population	UN World Population Prospects 2024	population	2019	2019-01-01	17473332
NLD	Netherlands	population	UN World Population Prospects 2024	population	2020	2020-01-01	17601682
NLD	Netherlands	population	UN World Population Prospects 2024	population	2021	2021-01-01	17671780
NLD	Netherlands	population	UN World Population Prospects 2024	population	2022	2022-01-01	17789347
NLD	Netherlands	population	UN World Population Prospects 2024	population	2023	2023-01-01	18019495
NOR	Norway	population	UN World Population Prospects 2024	population	2016	2016-01-01	5213819
NOR	Norway	population	UN World Population Prospects 2024	population	2017	2017-01-01	5258147
NOR	Norway	population	UN World Population Prospects 2024	population	2018	2018-01-01	5295458
NOR	Norway	population	UN World Population Prospects 2024	population	2019	2019-01-01	5328047
NOR	Norway	population	UN World Population Prospects 2024	population	2020	2020-01-01	5367414
NOR	Norway	population	UN World Population Prospects 2024	population	2021	2021-01-01	5391133
NOR	Norway	population	UN World Population Prospects 2024	population	2022	2022-01-01	5425048
NOR	Norway	population	UN World Population Prospects 2024	population	2023	2023-01-01	5488555
KOR	Republic of Korea	population	UN World Population Prospects 2024	population	2016	2016-01-01	51195032
KOR	Republic of Korea	population	UN World Population Prospects 2024	population	2017	2017-01-01	51400646
KOR	Republic of Korea	population	UN World Population Prospects 2024	population	2018	2018-01-01	51571895
KOR	Republic of Korea	population	UN World Population Prospects 2024	population	2019	2019-01-01	51709893
KOR	Republic of Korea	population	UN World Population Prospects 2024	population	2020	2020-01-01	51825799
KOR	Republic of Korea	population	UN World Population Prospects 2024	population	2021	2021-01-01	51891164
