iso3,country,measure,measure_name,unit,year,obs_value,year_date
DNK,Denmark,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.071500003,2018-01-01
DNK,Denmark,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.0757,2019-01-01
DNK,Denmark,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.1389,2020-01-01
NZL,New Zealand,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.095100001,2017-01-01
NZL,New Zealand,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.1031,2018-01-01
NZL,New Zealand,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.1049,2019-01-01
NZL,New Zealand,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.14569999,2020-01-01
POL,Poland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.12630001,2018-01-01
POL,Poland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.1344,2019-01-01
POL,Poland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.1453,2020-01-01
POL,Poland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.14659999,2021-01-01
POL,Poland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.1399,2022-01-01
POL,Poland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2023,0.1573,2023-01-01
PRT,Portugal,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.1503,2017-01-01
PRT,Portugal,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.2086,2018-01-01
PRT,Portugal,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.29190001,2019-01-01
PRT,Portugal,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.41229999,2020-01-01
PRT,Portugal,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.37349999,2021-01-01
SVN,Slovenia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.1823,2017-01-01
SVN,Slovenia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.18979999,2018-01-01
SVN,Slovenia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.2164,2019-01-01
SVN,Slovenia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.1956,2020-01-01
SVN,Slovenia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.1946,2021-01-01
SVN,Slovenia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.1543,2022-01-01
BGR,Bulgaria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.0097000003,2017-01-01
BGR,Bulgaria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.0086000003,2018-01-01
BGR,Bulgaria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.0074999998,2019-01-01
BGR,Bulgaria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.0060000001,2020-01-01
BGR,Bulgaria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.0041,2021-01-01
AUT,Austria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.2412,2017-01-01
AUT,Austria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.26190001,2018-01-01
AUT,Austria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.27410001,2019-01-01
AUT,Austria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.3696,2020-01-01
AUT,Austria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.31810001,2021-01-01
CHE,Switzerland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.0228,2017-01-01
CHE,Switzerland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.0274,2018-01-01
CHE,Switzerland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.032400001,2019-01-01
CHE,Switzerland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.034600001,2020-01-01
CHL,Chile,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.0147,2019-01-01
CHL,Chile,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.0128,2020-01-01
CHL,Chile,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.0124,2021-01-01
CHL,Chile,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.0173,2022-01-01
CHL,Chile,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.0185,2017-01-01
LUX,Luxembourg,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.045200001,2017-01-01
LUX,Luxembourg,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.040899999,2018-01-01
LUX,Luxembourg,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.036699999,2019-01-01
LUX,Luxembourg,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.040399998,2020-01-01
LUX,Luxembourg,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.0403,2021-01-01
USA,United States,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.2245,2017-01-01
USA,United States,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.23549999,2018-01-01
USA,United States,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.2243,2019-01-01
USA,United States,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.26320001,2020-01-01
RUS,Russia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.479,2017-01-01
RUS,Russia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.40189999,2018-01-01
ISL,Iceland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.2273,2019-01-01
ISL,Iceland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.43099999,2020-01-01
ISL,Iceland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.4596,2021-01-01
ISL,Iceland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.4948,2022-01-01
ISL,Iceland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2023,0.51670003,2023-01-01
ISL,Iceland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.206,2017-01-01
ITA,Italy,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.21160001,2017-01-01
ITA,Italy,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.2472,2018-01-01
ITA,Italy,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.2115,2019-01-01
ITA,Italy,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.101,2020-01-01
ITA,Italy,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.1044,2021-01-01
JPN,Japan,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.1434,2017-01-01
