country,unit,year,obs_value,year_date
Austria,Percentage,2011,11.14,2011-01-01
Austria,Percentage,2012,12.72,2012-01-01
Austria,Percentage,2013,14.18,2013-01-01
Austria,Percentage,2014,14.35,2014-01-01
Austria,Percentage,2015,14.16,2015-01-01
Austria,Percentage,2016,13.88,2016-01-01
Austria,Percentage,2017,14.78,2017-01-01
Austria,Percentage,2018,13.83,2018-01-01
Austria,Percentage,2019,13.88,2019-01-01
Austria,Percentage,2020,14.83,2020-01-01
Austria,Percentage,2021,13.97,2021-01-01
Austria,Percentage,2022,13.33,2022-01-01
Belgium,Percentage,2011,7.71,2011-01-01
Belgium,Percentage,2012,8.56,2012-01-01
Belgium,Percentage,2013,8.71,2013-01-01
Belgium,Percentage,2014,9.7,2014-01-01
Belgium,Percentage,2015,10.27,2015-01-01
Belgium,Percentage,2016,10,2016-01-01
Belgium,Percentage,2017,9.76,2017-01-01
Belgium,Percentage,2018,10.21,2018-01-01
Belgium,Percentage,2019,11.95,2019-01-01
Belgium,Percentage,2020,13.83,2020-01-01
Belgium,Percentage,2021,17.08,2021-01-01
Belgium,Percentage,2022,15.05,2022-01-01
Bulgaria,Percentage,2011,3.74,2011-01-01
Bulgaria,Percentage,2012,3.82,2012-01-01
Bulgaria,Percentage,2013,3.97,2013-01-01
Bulgaria,Percentage,2014,3.94,2014-01-01
Bulgaria,Percentage,2015,4.42,2015-01-01
Bulgaria,Percentage,2016,5.14,2016-01-01
Bulgaria,Percentage,2017,5.37,2017-01-01
Bulgaria,Percentage,2018,6.02,2018-01-01
Bulgaria,Percentage,2019,6.32,2019-01-01
Bulgaria,Percentage,2020,6.8,2020-01-01
Bulgaria,Percentage,2021,6.41,2021-01-01
Bulgaria,Percentage,2022,5.48,2022-01-01
Switzerland,Percentage,2011,18.59,2011-01-01
Switzerland,Percentage,2012,14.11,2012-01-01
Switzerland,Percentage,2013,13.23,2013-01-01
Switzerland,Percentage,2014,15.99,2014-01-01
Switzerland,Percentage,2015,17.73,2015-01-01
Switzerland,Percentage,2016,17.54,2016-01-01
Switzerland,Percentage,2017,18.67,2017-01-01
Switzerland,Percentage,2018,18.3,2018-01-01
Switzerland,Percentage,2019,19.73,2019-01-01
Switzerland,Percentage,2020,20.82,2020-01-01
Switzerland,Percentage,2021,20.92,2021-01-01
Switzerland,Percentage,2022,19.65,2022-01-01
Cyprus,Percentage,2011,14.83,2011-01-01
Cyprus,Percentage,2012,11.73,2012-01-01
Cyprus,Percentage,2013,18.12,2013-01-01
Cyprus,Percentage,2014,5.21,2014-01-01
Cyprus,Percentage,2015,10.9,2015-01-01
Cyprus,Percentage,2016,6.85,2016-01-01
Cyprus,Percentage,2017,10.15,2017-01-01
Cyprus,Percentage,2018,9.7,2018-01-01
Cyprus,Percentage,2019,4.6,2019-01-01
Cyprus,Percentage,2020,4.99,2020-01-01
Cyprus,Percentage,2021,5.33,2021-01-01
Cyprus,Percentage,2022,5.02,2022-01-01
Czechia,Percentage,2011,16.43,2011-01-01
Czechia,Percentage,2012,16.09,2012-01-01
Czechia,Percentage,2013,15.08,2013-01-01
Czechia,Percentage,2014,15.3,2014-01-01
Czechia,Percentage,2015,15.55,2015-01-01
Czechia,Percentage,2016,15.05,2016-01-01
Czechia,Percentage,2017,16.06,2017-01-01
Czechia,Percentage,2018,17.85,2018-01-01
Czechia,Percentage,2019,18.95,2019-01-01
Czechia,Percentage,2020,20.64,2020-01-01
Czechia,Percentage,2021,18.38,2021-01-01
Czechia,Percentage,2022,19.19,2022-01-01
Germany,Percentage,2011,13.52,2011-01-01
Germany,Percentage,2012,14.23,2012-01-01
Germany,Percentage,2013,14.27,2013-01-01
Germany,Percentage,2014,14.27,2014-01-01
Germany,Percentage,2015,14.88,2015-01-01
Germany,Percentage,2016,15.21,2016-01-01
Germany,Percentage,2017,15.1,2017-01-01
Germany,Percentage,2018,15.24,2018-01-01
Germany,Percentage,2019,15.73,2019-01-01
Germany,Percentage,2020,15.36,2020-01-01
Germany,Percentage,2021,15.08,2021-01-01
Germany,Percentage,2022,14.52,2022-01-01
Denmark,Percentage,2011,9.26,2011-01-01
Denmark,Percentage,2012,9.35,2012-01-01
Denmark,Percentage,2013,9.3,2013-01-01
Denmark,Percentage,2014,9.94,2014-01-01
Denmark,Percentage,2015,10.82,2015-01-01
Denmark,Percentage,2016,10.68,2016-01-01
Denmark,Percentage,2017,9.68,2017-01-01
Denmark,Percentage,2018,9.47,2018-01-01
Denmark,Percentage,2019,9.82,2019-01-01
Denmark,Percentage,2020,11.45,2020-01-01
Denmark,Percentage,2021,12.04,2021-01-01
Denmark,Percentage,2022,11.44,2022-01-01
Estonia,Percentage,2011,14.83,2011-01-01
Estonia,Percentage,2012,14.13,2012-01-01
Estonia,Percentage,2013,14.94,2013-01-01
Estonia,Percentage,2014,16.28,2014-01-01
Estonia,Percentage,2015,15.52,2015-01-01
Estonia,Percentage,2016,15.6,2016-01-01
Estonia,Percentage,2017,12.01,2017-01-01
Estonia,Percentage,2018,11.55,2018-01-01
Estonia,Percentage,2019,11.08,2019-01-01
Estonia,Percentage,2020,13.54,2020-01-01
Estonia,Percentage,2021,12.81,2021-01-01
Estonia,Percentage,2022,10.79,2022-01-01
Greece,Percentage,2011,4.04,2011-01-01
Greece,Percentage,2012,2.86,2012-01-01
Greece,Percentage,2013,2.47,2013-01-01
Greece,Percentage,2014,3.69,2014-01-01
Greece,Percentage,2015,4.39,2015-01-01
Greece,Percentage,2016,4.98,2016-01-01
Greece,Percentage,2017,4.3,2017-01-01
Greece,Percentage,2018,4.5,2018-01-01
Greece,Percentage,2019,4.78,2019-01-01
Greece,Percentage,2020,5.84,2020-01-01
Greece,Percentage,2021,4.87,2021-01-01
Greece,Percentage,2022,4.97,2022-01-01
Spain,Percentage,2011,4.81,2011-01-01
Spain,Percentage,2012,4.98,2012-01-01
Spain,Percentage,2013,5.44,2013-01-01
Spain,Percentage,2014,5.16,2014-01-01
Spain,Percentage,2015,5.46,2015-01-01
Spain,Percentage,2016,5.85,2016-01-01
Spain,Percentage,2017,5.74,2017-01-01
Spain,Percentage,2018,5.5,2018-01-01
Spain,Percentage,2019,5.84,2019-01-01
Spain,Percentage,2020,6.05,2020-01-01
Spain,Percentage,2021,7.13,2021-01-01
Spain,Percentage,2022,8.46,2022-01-01
European Union - 27 countries (from 2020),Percentage,2011,14.42,2011-01-01
European Union - 27 countries (from 2020),Percentage,2012,14.64,2012-01-01
European Union - 27 countries (from 2020),Percentage,2013,14.63,2013-01-01
European Union - 27 countries (from 2020),Percentage,2014,14.83,2014-01-01
European Union - 27 countries (from 2020),Percentage,2015,16.04,2015-01-01
European Union - 27 countries (from 2020),Percentage,2016,16.48,2016-01-01
