iso3,country,measure,measure_name,unit,unit_name,year,obs_value,year_date
NRU,Nauru,DMC_PROD,"Non-energy material productivity, GDP per unit of DMC",USD_KG,US dollars per kilogramme,2020,NA,2020-01-01
NRU,Nauru,DMC_PROD,"Non-energy material productivity, GDP per unit of DMC",USD_KG,US dollars per kilogramme,2021,NA,2021-01-01
NRU,Nauru,DMC_PROD,"Non-energy material productivity, GDP per unit of DMC",USD_KG,US dollars per kilogramme,2022,NA,2022-01-01
NRU,Nauru,DMC_PROD,"Non-energy material productivity, GDP per unit of DMC",USD_KG,US dollars per kilogramme,2023,NA,2023-01-01
NRU,Nauru,DMC_PROD,"Non-energy material productivity, GDP per unit of DMC",USD_KG,US dollars per kilogramme,2024,NA,2024-01-01
SMR,San Marino,DMC_PROD,"Non-energy material productivity, GDP per unit of DMC",USD_KG,US dollars per kilogramme,2020,NA,2020-01-01
SMR,San Marino,DMC_PROD,"Non-energy material productivity, GDP per unit of DMC",USD_KG,US dollars per kilogramme,2021,NA,2021-01-01
SMR,San Marino,DMC_PROD,"Non-energy material productivity, GDP per unit of DMC",USD_KG,US dollars per kilogramme,2022,NA,2022-01-01
SMR,San Marino,DMC_PROD,"Non-energy material productivity, GDP per unit of DMC",USD_KG,US dollars per kilogramme,2024,NA,2024-01-01
GRC,Greece,DMC_PROD,"Non-energy material productivity, GDP per unit of DMC",USD_KG,US dollars per kilogramme,2021,4.32,2021-01-01
AUT,Austria,DMC_PROD,"Non-energy material productivity, GDP per unit of DMC",USD_KG,US dollars per kilogramme,2023,4.45,2023-01-01
BEL,Belgium,DMC_PROD,"Non-energy material productivity, GDP per unit of DMC",USD_KG,US dollars per kilogramme,2023,5.98,2023-01-01
CZE,Czechia,DMC_PROD,"Non-energy material productivity, GDP per unit of DMC",USD_KG,US dollars per kilogramme,2023,4.47,2023-01-01
DNK,Denmark,DMC_PROD,"Non-energy material productivity, GDP per unit of DMC",USD_KG,US dollars per kilogramme,2023,3.56,2023-01-01
