iso3,country,measure,var_axis,year,year_date,obs_value
FRA,France,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,97.100834
DEU,Germany,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,101.150435
AUS,Australia,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
AUS,Australia,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,102.69344
AUS,Australia,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,99.841896
LUX,Luxembourg,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,99.689087
NLD,Netherlands,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,100.190092
AUT,Austria,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,100.555897
AUT,Austria,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,99.837443
AUT,Austria,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,98.876001
AUT,Austria,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,98.813246
AUT,Austria,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,100.674347
AUT,Austria,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,99.678636
BEL,Belgium,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,99.380032
BEL,Belgium,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,99.642317
BEL,Belgium,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,100.085791
