iso3,economy,year,obs_value,var_axis
ARG,Argentina,2024,23.36,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
AUT,Austria,2024,6.58,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
BRA,Brazil,2024,20.31,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CAN,Canada,2024,25.38,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHL,Chile,2024,27.21,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHN,China,2024,5.43,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
HRV,Croatia,2024,13.06,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CYP,Cyprus,2024,9.69,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
EST,Estonia,2024,13.36,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
FRA,France,2024,8.71,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
DEU,Germany,2024,9.84,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GRC,Greece,2024,5.53,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
HUN,Hungary,2024,6.71,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IND,India,2024,12.20,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ISR,Israel,2024,8.36,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ITA,Italy,2024,9.63,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
JOR,Jordan,2024,21.13,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
KAZ,Kazakhstan,2024,9.64,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LVA,Latvia,2024,12.11,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LTU,Lithuania,2024,11.61,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LUX,Luxembourg,2024,9.86,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
MEX,Mexico,2024,14.96,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
NOR,Norway,2024,9.98,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
POL,Poland,2024,2.45,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
PRI,Puerto Rico,2024,24.29,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
