iso3,country,measure,measure_name,unit,year,obs_value,year_date
CRI,Costa Rica,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.0049999999,2022-01-01
CRI,Costa Rica,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2023,0.0031000001,2023-01-01
DEU,Germany,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2023,0.1238,2023-01-01
HUN,Hungary,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.242,2018-01-01
LTU,Lithuania,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2023,0.0429,2023-01-01
GBR,United Kingdom,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.41339999,2018-01-01
GBR,United Kingdom,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.40419999,2022-01-01
DNK,Denmark,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.0757,2019-01-01
DNK,Denmark,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2023,0.1049,2023-01-01
ISL,Iceland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.22409999,2018-01-01
ISL,Iceland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.42309999,2020-01-01
OECD,OECD,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.23019999,2022-01-01
CHL,Chile,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.0112,2021-01-01
DNK,Denmark,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.071500003,2018-01-01
DNK,Denmark,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.1389,2020-01-01
DEU,Germany,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.096900001,2022-01-01
ISL,Iceland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2023,0.51069999,2023-01-01
BRA,Brazil,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.078100003,2018-01-01
BRA,Brazil,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.095200002,2019-01-01
BRA,Brazil,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.088600002,2020-01-01
MLT,Malta,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2023,0.0022,2023-01-01
COL,Colombia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.0071999999,2019-01-01
COL,Colombia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.0139,2020-01-01
ESP,Spain,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.2145,2022-01-01
ESP,Spain,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2023,0.2209,2023-01-01
ROU,Romania,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.021299999,2020-01-01
ROU,Romania,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.023499999,2021-01-01
ROU,Romania,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.0241,2022-01-01
ROU,Romania,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2023,0.0125,2023-01-01
CHL,Chile,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.0206,2018-01-01
CHL,Chile,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.0122,2019-01-01
CHL,Chile,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.0111,2020-01-01
CHL,Chile,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.0156,2022-01-01
FRA,France,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.39590001,2018-01-01
ESP,Spain,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.1698,2018-01-01
ESP,Spain,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.18340001,2019-01-01
ESP,Spain,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.2026,2020-01-01
ESP,Spain,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.2131,2021-01-01
BEL,Belgium,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.2809,2018-01-01
BEL,Belgium,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.34029999,2019-01-01
BEL,Belgium,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.3204,2020-01-01
BEL,Belgium,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.32300001,2021-01-01
BEL,Belgium,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.31009999,2022-01-01
COL,Colombia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.0089999996,2018-01-01
AUS,Australia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.1538,2018-01-01
AUS,Australia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.15440001,2020-01-01
AUT,Austria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.26190001,2018-01-01
AUT,Austria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.3696,2020-01-01
AUT,Austria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.2721,2022-01-01
CRI,Costa Rica,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.0055999998,2019-01-01
IRL,Ireland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.2032,2020-01-01
IRL,Ireland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.249,2022-01-01
ISR,Israel,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2023,0.092799999,2023-01-01
LUX,Luxembourg,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.040899999,2018-01-01
LUX,Luxembourg,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.040399998,2020-01-01
LUX,Luxembourg,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.0383,2022-01-01
SWE,Sweden,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.1235,2018-01-01
SWE,Sweden,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.1303,2020-01-01
SWE,Sweden,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.14740001,2022-01-01
CHE,Switzerland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.0274,2018-01-01
CHE,Switzerland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.034600001,2020-01-01
CHE,Switzerland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.035,2022-01-01
BGR,Bulgaria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.0086000003,2018-01-01
BGR,Bulgaria,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.0041,2022-01-01
CYP,Cyprus,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.026900001,2022-01-01
KOR,South Korea,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.3321,2021-01-01
KOR,South Korea,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.37979999,2022-01-01
NLD,Netherlands,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.22930001,2022-01-01
SWE,Sweden,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2023,0.1673,2023-01-01
USA,United States,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.2462,2021-01-01
CAN,Canada,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.23100001,2021-01-01
CAN,Canada,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.2172,2022-01-01
FRA,France,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.42109999,2020-01-01
FRA,France,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.41980001,2021-01-01
FRA,France,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.4102,2022-01-01
GRC,Greece,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.1063,2022-01-01
PRT,Portugal,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.37349999,2021-01-01
PRT,Portugal,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.4639,2022-01-01
GBR,United Kingdom,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.4217,2019-01-01
GBR,United Kingdom,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.47420001,2020-01-01
GBR,United Kingdom,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.47799999,2021-01-01
MLT,Malta,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.037999999,2018-01-01
MLT,Malta,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2019,0.0286,2019-01-01
MLT,Malta,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.0038000001,2020-01-01
MLT,Malta,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.0026,2021-01-01
MLT,Malta,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2022,0.0020999999,2022-01-01
