country,unit,geo,year,obs_value,var_axis,year_date,iso3
Austria,Percentage,AT,2011,11.14,Exports of high technology products as a share of total products exports,2011-01-01,AUT
Austria,Percentage,AT,2012,12.72,Exports of high technology products as a share of total products exports,2012-01-01,AUT
Austria,Percentage,AT,2013,14.18,Exports of high technology products as a share of total products exports,2013-01-01,AUT
Austria,Percentage,AT,2014,14.35,Exports of high technology products as a share of total products exports,2014-01-01,AUT
Austria,Percentage,AT,2015,14.16,Exports of high technology products as a share of total products exports,2015-01-01,AUT
Austria,Percentage,AT,2016,13.88,Exports of high technology products as a share of total products exports,2016-01-01,AUT
Austria,Percentage,AT,2017,14.78,Exports of high technology products as a share of total products exports,2017-01-01,AUT
Austria,Percentage,AT,2018,13.83,Exports of high technology products as a share of total products exports,2018-01-01,AUT
Austria,Percentage,AT,2019,13.88,Exports of high technology products as a share of total products exports,2019-01-01,AUT
Austria,Percentage,AT,2020,14.83,Exports of high technology products as a share of total products exports,2020-01-01,AUT
Austria,Percentage,AT,2021,13.97,Exports of high technology products as a share of total products exports,2021-01-01,AUT
Austria,Percentage,AT,2022,13.33,Exports of high technology products as a share of total products exports,2022-01-01,AUT
Belgium,Percentage,BE,2011,7.71,Exports of high technology products as a share of total products exports,2011-01-01,BEL
Belgium,Percentage,BE,2012,8.56,Exports of high technology products as a share of total products exports,2012-01-01,BEL
Belgium,Percentage,BE,2013,8.71,Exports of high technology products as a share of total products exports,2013-01-01,BEL
Belgium,Percentage,BE,2014,9.7,Exports of high technology products as a share of total products exports,2014-01-01,BEL
Belgium,Percentage,BE,2015,10.27,Exports of high technology products as a share of total products exports,2015-01-01,BEL
Belgium,Percentage,BE,2016,10,Exports of high technology products as a share of total products exports,2016-01-01,BEL
Belgium,Percentage,BE,2017,9.76,Exports of high technology products as a share of total products exports,2017-01-01,BEL
Belgium,Percentage,BE,2018,10.21,Exports of high technology products as a share of total products exports,2018-01-01,BEL
Belgium,Percentage,BE,2019,11.95,Exports of high technology products as a share of total products exports,2019-01-01,BEL
Belgium,Percentage,BE,2020,13.83,Exports of high technology products as a share of total products exports,2020-01-01,BEL
Belgium,Percentage,BE,2021,17.08,Exports of high technology products as a share of total products exports,2021-01-01,BEL
Belgium,Percentage,BE,2022,15.05,Exports of high technology products as a share of total products exports,2022-01-01,BEL
Bulgaria,Percentage,BG,2011,3.74,Exports of high technology products as a share of total products exports,2011-01-01,BGR
Bulgaria,Percentage,BG,2012,3.82,Exports of high technology products as a share of total products exports,2012-01-01,BGR
Bulgaria,Percentage,BG,2013,3.97,Exports of high technology products as a share of total products exports,2013-01-01,BGR
Bulgaria,Percentage,BG,2014,3.94,Exports of high technology products as a share of total products exports,2014-01-01,BGR
Bulgaria,Percentage,BG,2015,4.42,Exports of high technology products as a share of total products exports,2015-01-01,BGR
Bulgaria,Percentage,BG,2016,5.14,Exports of high technology products as a share of total products exports,2016-01-01,BGR
Bulgaria,Percentage,BG,2017,5.37,Exports of high technology products as a share of total products exports,2017-01-01,BGR
Bulgaria,Percentage,BG,2018,6.02,Exports of high technology products as a share of total products exports,2018-01-01,BGR
Bulgaria,Percentage,BG,2019,6.32,Exports of high technology products as a share of total products exports,2019-01-01,BGR
Bulgaria,Percentage,BG,2020,6.8,Exports of high technology products as a share of total products exports,2020-01-01,BGR
Bulgaria,Percentage,BG,2021,6.41,Exports of high technology products as a share of total products exports,2021-01-01,BGR
Bulgaria,Percentage,BG,2022,5.48,Exports of high technology products as a share of total products exports,2022-01-01,BGR
Switzerland,Percentage,CH,2011,18.59,Exports of high technology products as a share of total products exports,2011-01-01,CHE
Switzerland,Percentage,CH,2012,14.11,Exports of high technology products as a share of total products exports,2012-01-01,CHE
Switzerland,Percentage,CH,2013,13.23,Exports of high technology products as a share of total products exports,2013-01-01,CHE
Switzerland,Percentage,CH,2014,15.99,Exports of high technology products as a share of total products exports,2014-01-01,CHE
Switzerland,Percentage,CH,2015,17.73,Exports of high technology products as a share of total products exports,2015-01-01,CHE
Switzerland,Percentage,CH,2016,17.54,Exports of high technology products as a share of total products exports,2016-01-01,CHE
Switzerland,Percentage,CH,2017,18.67,Exports of high technology products as a share of total products exports,2017-01-01,CHE
Switzerland,Percentage,CH,2018,18.3,Exports of high technology products as a share of total products exports,2018-01-01,CHE
Switzerland,Percentage,CH,2019,19.73,Exports of high technology products as a share of total products exports,2019-01-01,CHE
Switzerland,Percentage,CH,2020,20.82,Exports of high technology products as a share of total products exports,2020-01-01,CHE
Switzerland,Percentage,CH,2021,20.92,Exports of high technology products as a share of total products exports,2021-01-01,CHE
Switzerland,Percentage,CH,2022,19.65,Exports of high technology products as a share of total products exports,2022-01-01,CHE
Cyprus,Percentage,CY,2011,14.83,Exports of high technology products as a share of total products exports,2011-01-01,CYP
Cyprus,Percentage,CY,2012,11.73,Exports of high technology products as a share of total products exports,2012-01-01,CYP
Cyprus,Percentage,CY,2013,18.12,Exports of high technology products as a share of total products exports,2013-01-01,CYP
Cyprus,Percentage,CY,2014,5.21,Exports of high technology products as a share of total products exports,2014-01-01,CYP
Cyprus,Percentage,CY,2015,10.9,Exports of high technology products as a share of total products exports,2015-01-01,CYP
Cyprus,Percentage,CY,2016,6.85,Exports of high technology products as a share of total products exports,2016-01-01,CYP
Cyprus,Percentage,CY,2017,10.15,Exports of high technology products as a share of total products exports,2017-01-01,CYP
Cyprus,Percentage,CY,2018,9.7,Exports of high technology products as a share of total products exports,2018-01-01,CYP
Cyprus,Percentage,CY,2019,4.6,Exports of high technology products as a share of total products exports,2019-01-01,CYP
Cyprus,Percentage,CY,2020,4.99,Exports of high technology products as a share of total products exports,2020-01-01,CYP
Cyprus,Percentage,CY,2021,5.33,Exports of high technology products as a share of total products exports,2021-01-01,CYP
Cyprus,Percentage,CY,2022,5.02,Exports of high technology products as a share of total products exports,2022-01-01,CYP
Czechia,Percentage,CZ,2011,16.43,Exports of high technology products as a share of total products exports,2011-01-01,CZE
Czechia,Percentage,CZ,2012,16.09,Exports of high technology products as a share of total products exports,2012-01-01,CZE
Czechia,Percentage,CZ,2013,15.08,Exports of high technology products as a share of total products exports,2013-01-01,CZE
Czechia,Percentage,CZ,2014,15.3,Exports of high technology products as a share of total products exports,2014-01-01,CZE
Czechia,Percentage,CZ,2015,15.55,Exports of high technology products as a share of total products exports,2015-01-01,CZE
Czechia,Percentage,CZ,2016,15.05,Exports of high technology products as a share of total products exports,2016-01-01,CZE
Czechia,Percentage,CZ,2017,16.06,Exports of high technology products as a share of total products exports,2017-01-01,CZE
Czechia,Percentage,CZ,2018,17.85,Exports of high technology products as a share of total products exports,2018-01-01,CZE
Czechia,Percentage,CZ,2019,18.95,Exports of high technology products as a share of total products exports,2019-01-01,CZE
Czechia,Percentage,CZ,2020,20.64,Exports of high technology products as a share of total products exports,2020-01-01,CZE
Czechia,Percentage,CZ,2021,18.38,Exports of high technology products as a share of total products exports,2021-01-01,CZE
