iso3,country,measure,measure_name,year,year_date,obs_value
AFG,Afghanistan,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,5.6
AFG,Afghanistan,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,7.4
AFG,Afghanistan,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,7.4
AFG,Afghanistan,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,7.4
AFG,Afghanistan,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,7.4
AFG,Afghanistan,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,7.4
AFG,Afghanistan,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,7.4
AGO,Angola,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,3.3
AGO,Angola,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,3.3
AGO,Angola,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,3
AGO,Angola,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,3.6
AGO,Angola,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,3.6
AGO,Angola,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,3.6
AGO,Angola,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,3.6
ALB,Albania,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,3.7
ALB,Albania,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,3.4
ALB,Albania,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,4.9
ALB,Albania,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,4.3
ALB,Albania,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,6.5
ALB,Albania,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,6.5
ALB,Albania,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,6.5
ARE,United Arab Emirates,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,28.8
ARE,United Arab Emirates,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,30.1
ARE,United Arab Emirates,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,31.9
ARE,United Arab Emirates,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,30.3
ARE,United Arab Emirates,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,31.1
ARE,United Arab Emirates,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,31.1
ARE,United Arab Emirates,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,31.1
ARG,Argentina,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,25
ARG,Argentina,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,25.7
ARG,Argentina,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,26.3
ARG,Argentina,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,27.6
ARG,Argentina,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,27.2
ARG,Argentina,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,27.2
ARG,Argentina,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,27.2
ARM,Armenia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,5.2
ARM,Armenia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,5.9
ARM,Armenia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,7.3
ARM,Armenia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,4.7
ARM,Armenia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,4
ARM,Armenia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,4
ARM,Armenia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,4
AUS,Australia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,26
AUS,Australia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,26.3
AUS,Australia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,27.3
AUS,Australia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,29.1
AUS,Australia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,28.9
AUS,Australia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,28.9
AUS,Australia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,28.9
AUT,Austria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,43.5
AUT,Austria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,43.3
AUT,Austria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,43.2
AUT,Austria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,44.4
AUT,Austria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,39.3
AUT,Austria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,39.3
AUT,Austria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,39.3
AZE,Azerbaijan,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,9.8
AZE,Azerbaijan,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,10.2
AZE,Azerbaijan,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,10.1
AZE,Azerbaijan,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,14.5
AZE,Azerbaijan,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,13.7
AZE,Azerbaijan,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,13.7
AZE,Azerbaijan,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,13.7
BDI,Burundi,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,2.8
BDI,Burundi,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,2.8
BDI,Burundi,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,2.8
BDI,Burundi,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,2.8
BDI,Burundi,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,2.8
BDI,Burundi,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,2.8
BDI,Burundi,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,2.8
BEL,Belgium,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,49.9
BEL,Belgium,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,50.2
BEL,Belgium,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,51.1
BEL,Belgium,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,48.6
BEL,Belgium,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,44.9
BEL,Belgium,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,44.9
BEL,Belgium,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,44.9
BGD,Bangladesh,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,5.3
BGD,Bangladesh,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,5.3
BGD,Bangladesh,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,5.3
BGD,Bangladesh,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,5.3
BGD,Bangladesh,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,5.3
BGD,Bangladesh,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,5.3
BGD,Bangladesh,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,5.3
BGR,Bulgaria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,32.8
BGR,Bulgaria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,31.9
BGR,Bulgaria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,31.3
BGR,Bulgaria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,35.6
BGR,Bulgaria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,35.9
BGR,Bulgaria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,35.9
BGR,Bulgaria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,35.9
BHR,Bahrain,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,24.6
BHR,Bahrain,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,24.6
BHR,Bahrain,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,24.6
BHR,Bahrain,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,24.6
BHR,Bahrain,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,24.6
BHR,Bahrain,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,24.6
BHR,Bahrain,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,24.6
BLR,Belarus,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,38.9
BLR,Belarus,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,37.5
BLR,Belarus,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,33.7
BLR,Belarus,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,33.7
BLR,Belarus,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,33.7
BLR,Belarus,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,33.7
BLR,Belarus,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,33.7
BMU,Bermuda,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,8.8
BMU,Bermuda,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,8.8
BMU,Bermuda,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,7.7
BMU,Bermuda,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,7.7
BMU,Bermuda,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,7.7
BMU,Bermuda,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,7.7
BMU,Bermuda,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,7.7
BOL,Bolivia (Plurinational State of),NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,11.7
BOL,Bolivia (Plurinational State of),NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,11.7
BOL,Bolivia (Plurinational State of),NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,11.7
BOL,Bolivia (Plurinational State of),NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,11.7
BOL,Bolivia (Plurinational State of),NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,11.7
BOL,Bolivia (Plurinational State of),NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,11.7
BOL,Bolivia (Plurinational State of),NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,11.7
BRA,Brazil,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,32.8
BRA,Brazil,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,33.3
BRA,Brazil,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,29.5
BRA,Brazil,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,30.3
BRA,Brazil,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,30.5
BRA,Brazil,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,30.5
BRA,Brazil,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,30.5
BRN,Brunei Darussalam,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,3.3
BRN,Brunei Darussalam,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,3.3
BRN,Brunei Darussalam,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,3.3
BRN,Brunei Darussalam,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,3.3
BRN,Brunei Darussalam,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,3.3
BRN,Brunei Darussalam,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,3.3
BRN,Brunei Darussalam,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,3.3
BWA,Botswana,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,26.1
BWA,Botswana,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,26.7
BWA,Botswana,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,28.7
BWA,Botswana,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,28.7
BWA,Botswana,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,25.8
BWA,Botswana,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,25.8
BWA,Botswana,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,25.8
CAN,Canada,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,37.3
CAN,Canada,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,38.1
CAN,Canada,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,35.4
CAN,Canada,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,32.3
CAN,Canada,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,32.9
CAN,Canada,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,32.9
CAN,Canada,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,32.9
CHE,Switzerland,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,59.8
CHE,Switzerland,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,58.5
CHE,Switzerland,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,65.8
CHE,Switzerland,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,70.3
CHE,Switzerland,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,70.3
CHE,Switzerland,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,70.3
CHE,Switzerland,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,70.3
CHL,Chile,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,16.7
CHL,Chile,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,16.7
CHL,Chile,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,16.7
CHL,Chile,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,16.7
CHL,Chile,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,16.7
CHL,Chile,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,16.7
CHL,Chile,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,16.7
CIV,Côte d'Ivoire,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,6.9
CIV,Côte d'Ivoire,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,6.7
CIV,Côte d'Ivoire,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,6.4
CIV,Côte d'Ivoire,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,6.2
CIV,Côte d'Ivoire,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,6
CIV,Côte d'Ivoire,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,6
CIV,Côte d'Ivoire,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,6
