iso3	country	measure	measure_name	measure_detail	source	years	obs_value
DEU	Germany	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2002–2004	43.3
DEU	Germany	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2004–2006	45.9
DEU	Germany	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2006–2008	41.3
DEU	Germany	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2008–2010	41.5
DEU	Germany	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2010–2012	35.8
DEU	Germany	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2012–2014	34
DEU	Germany	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2014–2016	31.9
DEU	Germany	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2016–2018	40.1
DEU	Germany	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2018–2020	35.6
DEU	Germany	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2020–2022	27.3
FRA	France	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2002–2004	19.4
FRA	France	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2004–2006	21.4
FRA	France	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2006–2008	23.4
FRA	France	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2008–2010	23.7
FRA	France	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2010–2012	24.2
FRA	France	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2012–2014	28
FRA	France	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2014–2016	27.9
FRA	France	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2016–2018	33.6
FRA	France	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2018–2020	28.4
ITA	Italy	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2002–2004	18.4
ITA	Italy	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2004–2006	18.7
ITA	Italy	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2006–2008	27.4
ITA	Italy	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2008–2010	28.7
ITA	Italy	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2010–2012	29.1
ITA	Italy	pct_inno	share of firms with product innovations		Source: Eurostat - Community Innovation Survey (CIS)	2012–2014	25
