iso3,economy,year,obs_value,var_axis
DEU,Germany,2024,9.8,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
SWE,Sweden,2024,8.4,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
CHE,Switzerland,2024,9.9,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
GBR,United Kingdom,2024,14.2,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
USA,United States,2024,19.3,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
USA,United States,2023,14.71,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
NLD,Netherlands,2023,13.69,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
CHE,Switzerland,2023,10.29,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
GBR,United Kingdom,2023,11.76,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
SWE,Sweden,2023,9.25,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
DEU,Germany,2023,7.69,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
KOR,South Korea,2023,10.23,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
USA,United States,2022,19.19,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
NLD,Netherlands,2022,12.45,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
CHE,Switzerland,2022,7.37,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
GBR,United Kingdom,2022,12.89,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
SWE,Sweden,2022,9.09,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
DEU,Germany,2022,9.09,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
KOR,South Korea,2022,11.9,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
USA,United States,2021,16.52,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
NLD,Netherlands,2021,14.21,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
CHE,Switzerland,2021,9.8,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
GBR,United Kingdom,2021,12.58,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
SWE,Sweden,2021,8.97,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
DEU,Germany,2021,6.91,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
KOR,South Korea,2021,13.39,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
FIN,Finland,2021,7.89,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
USA,United States,2020,15.4,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
NLD,Netherlands,2020,11.5,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
CHE,Switzerland,2020,9.2,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
GBR,United Kingdom,2020,7.8,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
SWE,Sweden,2020,7.3,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
DEU,Germany,2020,4.8,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
KOR,South Korea,2020,13,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
USA,United States,2019,17.42,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
NLD,Netherlands,2019,10.38,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
CHE,Switzerland,2019,9.77,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
GBR,United Kingdom,2019,9.34,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
SWE,Sweden,2019,8.25,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
DEU,Germany,2019,7.63,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
KOR,South Korea,2019,14.94,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
USA,United States,2018,15.59,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
NLD,Netherlands,2018,12.29,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
CHE,Switzerland,2018,7.37,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
GBR,United Kingdom,2018,8.24,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
SWE,Sweden,2018,6.82,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
DEU,Germany,2018,4.97,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
KOR,South Korea,2018,14.65,"Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %"
