iso3,country,var_axis,obs_value,year
AGO,Angola,Global Innovation Index Score,15,2021
ALB,Albania,Global Innovation Index Score,28,2021
ARE,United Arab Emirates,Global Innovation Index Score,43,2021
ARG,Argentina,Global Innovation Index Score,30,2021
ARM,Armenia,Global Innovation Index Score,31,2021
AUS,Australia,Global Innovation Index Score,48,2021
AUT,Austria,Global Innovation Index Score,51,2021
AZE,Azerbaijan,Global Innovation Index Score,28,2021
BEL,Belgium,Global Innovation Index Score,49,2021
BEN,Benin,Global Innovation Index Score,18,2021
BFA,Burkina Faso,Global Innovation Index Score,21,2021
BGD,Bangladesh,Global Innovation Index Score,20,2021
BGR,Bulgaria,Global Innovation Index Score,42,2021
BHR,Bahrain,Global Innovation Index Score,29,2021
BIH,Bosnia and Herzegovina,Global Innovation Index Score,30,2021
BLR,Belarus,Global Innovation Index Score,33,2021
BOL,Bolivia (Plurinational State of),Global Innovation Index Score,23,2021
BRA,Brazil,Global Innovation Index Score,34,2021
BRN,Brunei Darussalam,Global Innovation Index Score,28,2021
BWA,Botswana,Global Innovation Index Score,23,2021
CAN,Canada,Global Innovation Index Score,53,2021
CHE,Switzerland,Global Innovation Index Score,65,2021
CHL,Chile,Global Innovation Index Score,35,2021
CHN,China,Global Innovation Index Score,55,2021
CIV,Cote dIvoire,Global Innovation Index Score,21,2021
CMR,Cameroon,Global Innovation Index Score,20,2021
COL,Colombia,Global Innovation Index Score,32,2021
CPV,Cabo Verde,Global Innovation Index Score,26,2021
CRI,Costa Rica,Global Innovation Index Score,34,2021
CYP,Cyprus,Global Innovation Index Score,47,2021
CZE,Czech Republic,Global Innovation Index Score,49,2021
DEU,Germany,Global Innovation Index Score,57,2021
DNK,Denmark,Global Innovation Index Score,57,2021
DOM,Dominican Republic,Global Innovation Index Score,25,2021
DZA,Algeria,Global Innovation Index Score,20,2021
ECU,Ecuador,Global Innovation Index Score,25,2021
EGY,Egypt,Global Innovation Index Score,25,2021
ESP,Spain,Global Innovation Index Score,45,2021
EST,Estonia,Global Innovation Index Score,50,2021
ETH,Ethiopia,Global Innovation Index Score,19,2021
FIN,Finland,Global Innovation Index Score,58,2021
FRA,France,Global Innovation Index Score,55,2021
GBR,United Kingdom,Global Innovation Index Score,60,2021
